vigencia,nombre_comuna_o_corregimiento,rango_edades,genero_masculino,genero_femenino,poblacion_estimada_global
2020,COMUNA 7,00-04,378,374,752
2020,COMUNA 7,05-09,380,369,749
2020,COMUNA 7,10-14,394,381,775
2020,COMUNA 7,15-19,435,434,869
2020,COMUNA 7,20-24,469,493,962
2020,COMUNA 7,25-29,468,523,991
2020,COMUNA 7,30-34,436,496,932
2020,COMUNA 7,35-39,430,487,917
2020,COMUNA 7,40-44,386,438,824
2020,COMUNA 7,45-49,344,404,748
2020,COMUNA 7,50-54,341,427,768
2020,COMUNA 7,55-59,319,416,735
2020,COMUNA 7,60-64,279,372,651
2020,COMUNA 7,65-69,219,298,517
2020,COMUNA 7,70-74,158,221,379
2020,COMUNA 7,75-79,104,149,253
2020,COMUNA 7,80-84,60,89,149
2020,COMUNA 7,85-89,32,49,81
2020,COMUNA 7,90-94,16,24,40
2020,COMUNA 7,95-99,7,8,15
2020,COMUNA 7,100 o mas,3,3,6
2020,COMUNA 8,00-04,389,387,776
2020,COMUNA 8,05-09,392,381,773
2020,COMUNA 8,10-14,406,393,799
2020,COMUNA 8,15-19,449,448,897
2020,COMUNA 8,20-24,484,509,993
2020,COMUNA 8,25-29,483,539,1022
2020,COMUNA 8,30-34,450,512,962
2020,COMUNA 8,35-39,444,502,946
2020,COMUNA 8,40-44,398,452,850
2020,COMUNA 8,45-49,355,417,772
2020,COMUNA 8,50-54,352,440,792
2020,COMUNA 8,55-59,329,430,759
2020,COMUNA 8,60-64,288,384,672
2020,COMUNA 8,65-69,226,308,534
2020,COMUNA 8,70-74,164,227,391
2020,COMUNA 8,75-79,107,154,261
2020,COMUNA 8,80-84,62,92,154
2020,COMUNA 8,85-89,33,51,84
2020,COMUNA 8,90-94,16,25,41
2020,COMUNA 8,95-99,7,9,16
2020,COMUNA 8,100 o mas,3,2,5
2020,COMUNA 9,00-04,635,629,1264
2020,COMUNA 9,05-09,639,619,1258
2020,COMUNA 9,10-14,662,640,1302
2020,COMUNA 9,15-19,731,730,1461
2020,COMUNA 9,20-24,788,828,1616
2020,COMUNA 9,25-29,786,878,1664
2020,COMUNA 9,30-34,733,834,1567
2020,COMUNA 9,35-39,723,817,1540
2020,COMUNA 9,40-44,648,736,1384
2020,COMUNA 9,45-49,577,679,1256
2020,COMUNA 9,50-54,574,716,1290
2020,COMUNA 9,55-59,535,699,1234
2020,COMUNA 9,60-64,469,625,1094
2020,COMUNA 9,65-69,369,500,869
2020,COMUNA 9,70-74,266,371,637
2020,COMUNA 9,75-79,174,250,424
2020,COMUNA 9,80-84,101,149,250
2020,COMUNA 9,85-89,53,83,136
2020,COMUNA 9,90-94,26,41,67
2020,COMUNA 9,95-99,11,14,25
2020,COMUNA 9,100 o mas,4,4,8
2020,COMUNA 10,00-04,795,789,1584
2020,COMUNA 10,05-09,800,777,1577
2020,COMUNA 10,10-14,829,802,1631
2020,COMUNA 10,15-19,916,914,1830
2020,COMUNA 10,20-24,987,1038,2025
2020,COMUNA 10,25-29,985,1101,2086
2020,COMUNA 10,30-34,918,1046,1964
2020,COMUNA 10,35-39,906,1025,1931
2020,COMUNA 10,40-44,812,923,1735
2020,COMUNA 10,45-49,723,851,1574
2020,COMUNA 10,50-54,719,897,1616
2020,COMUNA 10,55-59,671,877,1548
2020,COMUNA 10,60-64,587,784,1371
2020,COMUNA 10,65-69,462,627,1089
2020,COMUNA 10,70-74,334,465,799
2020,COMUNA 10,75-79,219,313,532
2020,COMUNA 10,80-84,127,187,314
2020,COMUNA 10,85-89,67,104,171
2020,COMUNA 10,90-94,33,50,83
2020,COMUNA 10,95-99,14,18,32
2020,COMUNA 10,100 o mas,5,5,10
2020,COMUNA 11,00-04,460,456,916
2020,COMUNA 11,05-09,463,449,912
2020,COMUNA 11,10-14,479,464,943
2020,COMUNA 11,15-19,530,528,1058
2020,COMUNA 11,20-24,571,600,1171
2020,COMUNA 11,25-29,569,637,1206
2020,COMUNA 11,30-34,531,604,1135
2020,COMUNA 11,35-39,524,592,1116
2020,COMUNA 11,40-44,470,533,1003
2020,COMUNA 11,45-49,418,492,910
2020,COMUNA 11,50-54,416,519,935
2020,COMUNA 11,55-59,388,507,895
2020,COMUNA 11,60-64,339,453,792
2020,COMUNA 11,65-69,267,362,629
2020,COMUNA 11,70-74,193,268,461
2020,COMUNA 11,75-79,126,181,307
2020,COMUNA 11,80-84,73,108,181
2020,COMUNA 11,85-89,38,61,99
2020,COMUNA 11,90-94,19,29,48
2020,COMUNA 11,95-99,8,10,18
2020,COMUNA 11,100 o mas,3,3,6
2020,COMUNA 12,00-04,347,345,692
2020,COMUNA 12,05-09,350,339,689
2020,COMUNA 12,10-14,362,351,713
2020,COMUNA 12,15-19,400,400,800
2020,COMUNA 12,20-24,432,454,886
2020,COMUNA 12,25-29,430,481,911
2020,COMUNA 12,30-34,401,457,858
2020,COMUNA 12,35-39,396,448,844
2020,COMUNA 12,40-44,355,403,758
2020,COMUNA 12,45-49,316,372,688
2020,COMUNA 12,50-54,314,393,707
2020,COMUNA 12,55-59,293,383,676
2020,COMUNA 12,60-64,257,342,599
2020,COMUNA 12,65-69,202,274,476
2020,COMUNA 12,70-74,146,203,349
2020,COMUNA 12,75-79,95,137,232
2020,COMUNA 12,80-84,55,82,137
2020,COMUNA 12,85-89,29,46,75
2020,COMUNA 12,90-94,14,22,36
2020,COMUNA 12,95-99,6,8,14
2020,COMUNA 12,100 o mas,2,2,4
2020,ALTO DEL NUDO,00-04,170,167,337
2020,ALTO DEL NUDO,05-09,171,166,337
2020,ALTO DEL NUDO,10-14,177,171,348
2020,ALTO DEL NUDO,15-19,195,195,390
2020,ALTO DEL NUDO,20-24,211,221,432
2020,ALTO DEL NUDO,25-29,210,235,445
2020,ALTO DEL NUDO,30-34,196,223,419
2020,ALTO DEL NUDO,35-39,194,218,412
2020,ALTO DEL NUDO,40-44,173,197,370
2020,ALTO DEL NUDO,45-49,155,181,336
2020,ALTO DEL NUDO,50-54,154,191,345
2020,ALTO DEL NUDO,55-59,143,187,330
2020,ALTO DEL NUDO,60-64,125,167,292
2020,ALTO DEL NUDO,65-69,99,133,232
2020,ALTO DEL NUDO,70-74,71,99,170
2020,ALTO DEL NUDO,75-79,47,66,113
2020,ALTO DEL NUDO,80-84,27,40,67
2020,ALTO DEL NUDO,85-89,14,22,36
2020,ALTO DEL NUDO,90-94,7,11,18
2020,ALTO DEL NUDO,95-99,3,4,7
2020,ALTO DEL NUDO,100 o mas,1,1,2
2020,LAS MARCADAS,00-04,150,149,299
2020,LAS MARCADAS,05-09,151,147,298
2020,LAS MARCADAS,10-14,157,152,309
2020,LAS MARCADAS,15-19,173,173,346
2020,LAS MARCADAS,20-24,187,196,383
2020,LAS MARCADAS,25-29,186,208,394
2020,LAS MARCADAS,30-34,174,197,371
2020,LAS MARCADAS,35-39,171,194,365
2020,LAS MARCADAS,40-44,154,174,328
2020,LAS MARCADAS,45-49,137,161,298
2020,LAS MARCADAS,50-54,136,170,306
2020,LAS MARCADAS,55-59,127,166,293
2020,LAS MARCADAS,60-64,111,148,259
2020,LAS MARCADAS,65-69,87,119,206
2020,LAS MARCADAS,70-74,63,88,151
2020,LAS MARCADAS,75-79,41,60,101
2020,LAS MARCADAS,80-84,24,35,59
2020,LAS MARCADAS,85-89,13,19,32
2020,LAS MARCADAS,90-94,6,10,16
2020,LAS MARCADAS,95-99,3,3,6
2020,LAS MARCADAS,100 o mas,1,1,2
